time,E_pot,E_kin,T
0.0,-4306.0742274005115,1323.3637767349014,1.0211140252584117
0.01,-4305.66051156787,1304.515213927676,1.0065703811170341
0.02,-4304.974721747149,1295.2665950824273,0.9994341011438482
0.03,-4303.887030110987,1329.5701153330265,1.0259028667693106
0.04,-4302.057397473654,1273.4638480759522,0.9826109938857656
0.05,-4300.076137262182,1258.878388067908,0.9713567809165956
0.06,-4297.8434691724815,1310.992226847245,1.0115680762710224
0.07,-4295.34616615993,1303.1178677242988,1.005492181886033
0.08,-4292.61708109051,1314.4063981887687,1.0142024677382475
0.09,-4289.570329218741,1325.4290699493276,1.0227076157016417
0.1,-4285.381597139875,1331.277908201618,1.0272206081802608
0.11,-4282.263936052469,1314.800132056751,1.0145062747351474
0.12,-4280.261160281981,1271.7347323652216,0.9812767996645229
0.13,-4275.877165386384,1277.6801911008001,0.9858643449851853
0.14,-4271.350725329269,1274.4703557173643,0.9833876201522873
0.15,-4267.372569371497,1292.6301958255813,0.9973998424580103
0.16,-4262.545617678087,1287.0326025965849,0.993080711880081
0.17,-4257.823879135274,1283.2274446208953,0.9901446331951352
0.18,-4252.851692554348,1262.7401015032065,0.9743364980734618
0.19,-4248.093676981567,1369.5819398035324,1.0567761881200095
0.2,-4243.104396056053,1293.8692594585473,0.9983559100760395
0.21,-4239.102251921906,1266.8125788338666,0.9774788416927983
0.22,-4234.541044845972,1209.2767221002623,0.9330838905094616
0.23,-4228.355525732379,1250.489599630489,0.9648839503321675
0.24,-4220.215042699627,1245.2166680828136,0.960815330310813
0.25,-4210.649029899236,1244.4385494889475,0.9602149301612249
0.26,-4204.065618182307,1323.2802169291872,1.0210495500996815
0.27,-4198.327986760343,1320.7069726429881,1.0190640221010712
0.28,-4193.123795790505,1280.938263949793,0.9883782900847169
0.29,-4188.860349336442,1309.2576845406315,1.0102296948615983
0.3,-4184.986218048985,1287.3653790619637,0.9933374838441078
0.31,-4178.507958916383,1325.3007941998462,1.0226086374998813
0.32,-4174.881231895671,1334.3542101849876,1.0295942979822434
0.33,-4168.411724272032,1340.0603636534443,1.0339971941770403
0.34,-4158.920808900198,1311.1737539162136,1.0117081434538686
0.35000000000000003,-4149.608626103595,1327.0139705963975,1.0239305328675907
0.36,-4144.458413184182,1241.9464589170257,0.95829202076931
0.37,-4138.477119903777,1274.8105960494545,0.9836501512727273
0.38,-4130.2141767382145,1282.1639761676904,0.9893240556849463
0.39,-4122.974067184511,1301.8365354622172,1.0045034995850441
0.4,-4117.919511998426,1314.3120279834247,1.0141296512217783
0.41000000000000003,-4112.936132891487,1310.1250626136693,1.010898968066103
0.42,-4105.670209757898,1264.8570710358215,0.975969962218998
0.43,-4099.977512156049,1357.9657283071765,1.047813061965414
0.44,-4097.518063098042,1303.2479532791772,1.005592556542575
0.45,-4097.634999670442,1311.9203735743085,1.0122842388690652
0.46,-4094.742728889605,1324.333467056456,1.021862243099117
0.47000000000000003,-4090.8934652025637,1303.9812890886647,1.0061584020745868
0.48,-4082.6310943619756,1279.3222771848834,0.9871313867167311
0.49,-4077.8878156786272,1281.3480526041444,0.9886944850340621
0.5,-4073.533659126301,1320.8018862383253,1.0191372578999425
0.51,-4071.566448208832,1290.0026448371057,0.9953724111397421
